Center Wavelength (nm),FWHM (nm)
6.452094116210938e-07,1.630834126058094e-10
6.341187133789063e-07,1.4753829341125932e-10
6.397862548828126e-07,2.591776813979657e-10
6.364037475585938e-07,4.4696714610730125e-10
6.396440429687501e-07,2.5181595165666463e-10
6.365821533203125e-07,1.5278225986254549e-10
6.400350341796875e-07,2.1611748483609785e-10
6.406034545898438e-07,1.9762883548297848e-10
6.363681030273438e-07,4.4003908638036165e-10
6.327952880859376e-07,2.4257487079710753e-10
6.435821533203125e-07,1.531819592585626e-10
