parameter,variation_percent,wavelength_nm,q_factor,source_file
width,-15,701.920,312.9,results_width_m15_w0.267_r0.043_t0.136.hdf5
width,-15,608.006,48541.0,results_width_m15_w0.267_r0.043_t0.136.hdf5
width,-30,582.255,753.7,results_width_m30_w0.220_r0.043_t0.136.hdf5
width,-30,566.697,38684.8,results_width_m30_w0.220_r0.043_t0.136.hdf5
width,15,687.297,1628.5,results_width_p15_w0.361_r0.043_t0.136.hdf5
width,15,674.013,1260.6,results_width_p15_w0.361_r0.043_t0.136.hdf5
width,15,662.416,689.5,results_width_p15_w0.361_r0.043_t0.136.hdf5
width,15,660.138,51389.6,results_width_p15_w0.361_r0.043_t0.136.hdf5
width,15,554.446,464.5,results_width_p15_w0.361_r0.043_t0.136.hdf5
width,30,702.118,358.7,results_width_p30_w0.408_r0.043_t0.136.hdf5
width,30,675.691,80547.8,results_width_p30_w0.408_r0.043_t0.136.hdf5
width,30,614.278,12770.9,results_width_p30_w0.408_r0.043_t0.136.hdf5
width,30,574.565,228.9,results_width_p30_w0.408_r0.043_t0.136.hdf5
width,30,564.323,119.5,results_width_p30_w0.408_r0.043_t0.136.hdf5
width,30,554.270,790.0,results_width_p30_w0.408_r0.043_t0.136.hdf5
width,0,711.007,199.8,results_center_updated_w0.314_r0.043_t0.136.hdf5
width,0,692.239,118.0,results_center_updated_w0.314_r0.043_t0.136.hdf5
width,0,658.888,665.3,results_center_updated_w0.314_r0.043_t0.136.hdf5
width,0,655.431,1989.5,results_center_updated_w0.314_r0.043_t0.136.hdf5
width,0,638.353,60381.9,results_center_updated_w0.314_r0.043_t0.136.hdf5
width,0,562.870,1621.7,results_center_updated_w0.314_r0.043_t0.136.hdf5
width,0,554.191,1376.4,results_center_updated_w0.314_r0.043_t0.136.hdf5
radius,-15,658.024,2067.7,results_radius_m15_w0.314_r0.037_t0.136.hdf5
radius,-15,645.899,3170.4,results_radius_m15_w0.314_r0.037_t0.136.hdf5
radius,-15,643.305,89206.3,results_radius_m15_w0.314_r0.037_t0.136.hdf5
radius,-15,552.033,306.7,results_radius_m15_w0.314_r0.037_t0.136.hdf5
radius,-30,647.097,164942.6,results_radius_m30_w0.314_r0.030_t0.136.hdf5
radius,-30,555.437,212.5,results_radius_m30_w0.314_r0.030_t0.136.hdf5
radius,15,704.588,191.1,results_radius_p15_w0.314_r0.049_t0.136.hdf5
radius,15,655.993,128.4,results_radius_p15_w0.314_r0.049_t0.136.hdf5
radius,15,631.954,32676.0,results_radius_p15_w0.314_r0.049_t0.136.hdf5
radius,30,639.252,3248.6,results_radius_p30_w0.314_r0.056_t0.136.hdf5
radius,30,622.670,24995.1,results_radius_p30_w0.314_r0.056_t0.136.hdf5
radius,0,711.007,199.8,results_center_updated_w0.314_r0.043_t0.136.hdf5
radius,0,692.239,118.0,results_center_updated_w0.314_r0.043_t0.136.hdf5
radius,0,658.888,665.3,results_center_updated_w0.314_r0.043_t0.136.hdf5
radius,0,655.431,1989.5,results_center_updated_w0.314_r0.043_t0.136.hdf5
radius,0,638.353,60381.9,results_center_updated_w0.314_r0.043_t0.136.hdf5
radius,0,562.870,1621.7,results_center_updated_w0.314_r0.043_t0.136.hdf5
radius,0,554.191,1376.4,results_center_updated_w0.314_r0.043_t0.136.hdf5
thickness,-15,633.329,2065.1,results_thickness_m15_w0.314_r0.043_t0.116.hdf5
thickness,-15,620.360,58462.3,results_thickness_m15_w0.314_r0.043_t0.116.hdf5
thickness,-30,611.923,1126.3,results_thickness_m30_w0.314_r0.043_t0.095.hdf5
thickness,-30,597.129,53928.1,results_thickness_m30_w0.314_r0.043_t0.095.hdf5
thickness,15,677.686,340.3,results_thickness_p15_w0.314_r0.043_t0.156.hdf5
thickness,15,665.996,2482.9,results_thickness_p15_w0.314_r0.043_t0.156.hdf5
thickness,15,652.117,62805.6,results_thickness_p15_w0.314_r0.043_t0.156.hdf5
thickness,15,579.618,42681.0,results_thickness_p15_w0.314_r0.043_t0.156.hdf5
thickness,15,572.600,5777.9,results_thickness_p15_w0.314_r0.043_t0.156.hdf5
thickness,30,709.065,179.1,results_thickness_p30_w0.314_r0.043_t0.177.hdf5
thickness,30,703.975,466.6,results_thickness_p30_w0.314_r0.043_t0.177.hdf5
thickness,30,676.683,2362.4,results_thickness_p30_w0.314_r0.043_t0.177.hdf5
thickness,30,665.193,5482.8,results_thickness_p30_w0.314_r0.043_t0.177.hdf5
thickness,30,662.478,64168.4,results_thickness_p30_w0.314_r0.043_t0.177.hdf5
thickness,30,572.287,2130.4,results_thickness_p30_w0.314_r0.043_t0.177.hdf5
thickness,30,563.343,441.1,results_thickness_p30_w0.314_r0.043_t0.177.hdf5
thickness,30,553.909,1627.2,results_thickness_p30_w0.314_r0.043_t0.177.hdf5
thickness,0,711.007,199.8,results_center_updated_w0.314_r0.043_t0.136.hdf5
thickness,0,692.239,118.0,results_center_updated_w0.314_r0.043_t0.136.hdf5
thickness,0,658.888,665.3,results_center_updated_w0.314_r0.043_t0.136.hdf5
thickness,0,655.431,1989.5,results_center_updated_w0.314_r0.043_t0.136.hdf5
thickness,0,638.353,60381.9,results_center_updated_w0.314_r0.043_t0.136.hdf5
thickness,0,562.870,1621.7,results_center_updated_w0.314_r0.043_t0.136.hdf5
thickness,0,554.191,1376.4,results_center_updated_w0.314_r0.043_t0.136.hdf5
